"Nimi","Host","Port","Olek","Viivitus_ms","Kontrollitud","Kirjeldus"
"google","google.com","443","OK",,"2026-04-21 12:39:33","Avalik võrgutest"
"github","github.com","443","OK",,"2026-04-21 12:39:33","Git push"
"oma-ruuter","192.168.1.1","80","OK",,"2026-04-21 12:39:43","Koduvõrgu gateway"
"olematu","ei-ole-olemas.invalid","443","FAIL",,"2026-04-21 12:39:43","Peab maas olema (test)"
"localhost-ssh","127.0.0.1","22","FAIL","0","2026-04-21 12:39:50","Lokaalne SSH"
