Päev,Teateid kokku,Info,Warning,Critical,Ebaõnnestunud
2026-04-14,3,1,1,1,0
2026-04-15,3,1,1,1,1
2026-04-16,3,1,1,1,0
2026-04-17,3,1,1,1,0
2026-04-18,3,1,1,1,1
