"Nimi","Host","Port","Olek","Viivitus_ms","Kontrollitud","Kirjeldus"
"google","google.com","443","OK",,"2026-05-03 20:01:15","Avalik võrgutest"
"github","github.com","443","OK",,"2026-05-03 20:01:16","Git push"
"ruuter","192.168.3.1","80","OK",,"2026-05-03 20:01:25","Koduvõrgu gateway"
"olematu","192.168.3.40.invalid","443","FAIL",,"2026-05-03 20:01:25","Peab maas olema (test)"
"localhost-ssh","127.0.0.1","22","FAIL","0","2026-05-03 20:01:33","Lokaalne SSH"
